央视频道,#genre#
CCTV1,http://223.75.148.190:9910/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://223.75.148.190:9910/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://223.75.148.190:9910/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://223.75.148.190:9910/tsfile/live/0004_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://223.75.148.190:9910/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://223.75.148.190:9910/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://223.75.148.190:9910/tsfile/live/0007_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://223.75.148.190:9910/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://223.75.148.190:9910/tsfile/live/0009_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://223.75.148.190:9910/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://223.75.148.190:9910/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://223.75.148.190:9910/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://223.75.148.190:9910/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://223.75.148.190:9910/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://223.75.148.190:9910/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://123.168.95.21:4000/udp/239.21.2.46:5002
CCTV14,http://60.183.106.75:8000/udp/233.50.201.124:5140
CCTV4美洲,http://175.8.183.32:7878/udp/239.76.253.96:9000
CCTV4,http://175.8.183.32:7878/udp/239.76.246.154:1234
CCTV5,http://171.113.210.156:4022/rtp/239.69.1.123:10376
CCTV2,http://183.236.43.98:4013/udp/239.77.1.158:5146
CCTV1,http://114.254.37.51:8888/rtp/239.3.1.129:8008
CCTV3,http://120.40.56.142:1000/rtp/239.61.3.34:9722
卫视频道,#genre#
北京卫视,http://223.75.148.190:9910/tsfile/live/0122_2.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://223.75.148.190:9910/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://223.75.148.190:9910/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://223.75.148.190:9910/tsfile/live/0124_2.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://223.75.148.190:9910/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://223.75.148.190:9910/tsfile/live/0128_3.m3u8?key=txiptv&playlive=0&authid=0
其他频道,#genre#
十堰新闻,http://223.75.148.190:9910/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖北公共新闻,http://223.75.148.190:9910/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖北影视,http://223.75.148.190:9910/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
湖北教育,http://223.75.148.190:9910/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
湖北教育,http://223.75.148.190:9910/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
第一剧场,http://61.184.46.85:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://116.21.205.101:8188/udp/239.77.1.152:5146
东南卫视,http://183.236.43.98:4013/udp/239.77.1.104:5146
