江苏卫视4K,http://8.138.7.223/tv/jsws4k.php
浙江卫视4K,http://play-qukan.cztv.com/live/1758879019692345.m3u8
东方卫视4K,http://bp-live4ktc.bestv.cn/1080p/dfws4k1080p264_4k1080p.m3u8
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
CCTV4K,rtsp://115.153.254.117/PLTV/88888888/224/3221227073/106537394.smil
爱上4k,rtsp://115.153.254.117/PLTV/88888888/224/3221227025/86502164.smil
湖南卫视4k超高清,rtp://239.77.0.56:5146
浙江卫视4k超高清,rtp://239.77.0.58:5146
浙江卫视 4K (AVS2),rtp://239.77.1.32:5146
江苏卫视4k超高清,rtp://239.77.0.57:5146
江苏卫视 4K (AVS2),rtp://239.77.1.36:5146
东方卫视4k超高清,rtp://239.77.0.59:5146
北京卫视4K超高清,rtp://239.77.0.2:5146
北京卫视4K超高清,rtp://239.77.0.3:5146
山东卫视4k超高清,rtp://239.77.0.61:5146
山东卫视 4K (AVS2),rtp://239.77.1.37:5146
四川卫视4k超高清,rtp://239.77.0.60:5146
CCTV1,http://www.chutouge.top:34022/rtp/239.3.1.129:8008
江苏卫视,http://www.chutouge.top:34022/rtp/239.3.1.135:8028
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn#http://php.jdshipin.com/TVOD/iptv.php?id=fct#http://php.jdshipin.com:8880/smt.php?id=jade_twn#http://hls.168.us.kg/u/81/master.m3u8#http://74.91.26.218:82/live/jade.m3u8
华丽翡翠台,http://o11.163189.xyz/stream/live/hlt/#https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbjade
无线新闻台https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn#http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw#http://hls.168.us.kg/u/83/master.m3u8#http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
凤凰卫视中文,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixtv_hd#http://php.jdshipin.com/TVOD/iptv.php?id=fhzw#http://61.221.215.25:8800/hls/47/index.m3u8#https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd#http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
鳳凰卫视資訊,http://61.221.215.25:8800/hls/47/index.m3u8#https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
凤凰香港,https://epg.pw/stream/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.m3u
香港卫视,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
东森新闻,https://epg.pw/stream/9787fc554f1f1386e7741a9967b3bf15740a19429fa12aa5760a266316b7f0ce.m3u8
