CCTV,#genre#
CCTV1 HD,http://123.168.95.21:4000/udp/239.21.1.120:5002
CCTV2 HD,
CCTV3 HD,http://123.168.95.21:4000/udp/239.21.2.45:5002
CCTV4 HD,http://123.168.95.21:4000/udp/239.21.1.154:5002
CCTV5 HD,http://123.168.95.21:4000/udp/239.21.2.46:5002
CCTV5+ HD,http://123.168.95.21:4000/udp/239.21.1.142:5002
CCTV6 HD,http://123.168.95.21:4000/udp/239.21.2.47:5002
CCTV7 HD,http://123.168.95.21:4000/udp/239.21.1.152:5002
CCTV8 HD,http://123.168.95.21:4000/udp/239.21.2.48:5002
CCTV9 HD,http://123.168.95.21:4000/udp/239.21.1.153:5002
CCTV10 HD,http://123.168.95.21:4000/udp/239.21.1.155:5002
CCTV11 HD,http://123.168.95.21:4000/udp/239.21.2.2:5002
CCTV12 HD,http://123.168.95.21:4000/udp/239.21.1.156:5002
CCTV13 HD,http://123.168.95.21:4000/udp/239.21.2.3:5002
CCTV14 HD,http://123.168.95.21:4000/udp/239.21.1.157:5002
CCTV15 HD,http://123.168.95.21:4000/udp/239.21.2.4:5002
CCTV16 HD,http://123.168.95.21:4000/udp/239.21.2.51:5002
CCTV17 HD,http://123.168.95.21:4000/udp/239.21.1.186:5002
CCTV1,
CCTV2,http://123.168.95.21:4000/udp/239.21.1.151:5002
CCTV3,http://123.168.95.21:4000/udp/239.21.2.45:5002
CCTV4,http://123.168.95.21:4000/udp/239.21.1.154:5002
CCTV4北美,http://123.168.95.21:4000/udp/239.21.2.29:5002#http://123.168.95.21:4000/udp/239.21.2.29:5002
CCTV4欧洲,http://123.168.95.21:4000/udp/239.21.2.28:5002#http://123.168.95.21:4000/udp/239.21.2.28:5002
CCTV5,http://123.168.95.21:4000/udp/239.21.2.46:5002
CCTV6,
CCTV7,
CCTV8,
CCTV9,
CCTV10,
CCTV11,
CCTV13,http://123.168.95.21:4000/udp/239.21.2.3:5002
CCTV14,http://123.168.95.21:4000/udp/239.21.1.157:5002
CCTV15,
CCTV17,
CCTV12,
CCTV5+,
CCTV-1 HD,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV-2 HD,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV-3 HD,http://drive.mxmy.net:8888/udp/239.3.1.172:8001
CCTV-4 HD,http://drive.mxmy.net:8888/udp/239.3.1.105:8092
CCTV-5 HD,http://drive.mxmy.net:8888/udp/239.3.1.173:8001
CCTV-5+ HD,http://drive.mxmy.net:8888/udp/239.3.1.130:8004
CCTV-6 HD,http://drive.mxmy.net:8888/udp/239.3.1.174:8001
CCTV-7 HD,http://drive.mxmy.net:8888/udp/239.3.1.61:8104
CCTV-8 HD,
CCTV-9 HD,http://drive.mxmy.net:8888/udp/239.3.1.62:8112
CCTV-10 HD,http://drive.mxmy.net:8888/udp/239.3.1.63:8116
CCTV-11 HD,http://drive.mxmy.net:8888/udp/239.3.1.152:8120
CCTV-12 HD,http://drive.mxmy.net:8888/udp/239.3.1.64:8124
CCTV-13 HD,http://drive.mxmy.net:8888/udp/239.3.1.124:8128
CCTV-14 HD,
CCTV-15 HD,http://drive.mxmy.net:8888/udp/239.3.1.153:8136
CCTV-16 奥林匹克HD,http://drive.mxmy.net:8888/udp/239.3.1.184:8001
CCTV-17 HD,http://drive.mxmy.net:8888/udp/239.3.1.151:8144
CCTV-4 中文国际 欧洲HD,http://drive.mxmy.net:8888/udp/239.3.1.213:4220
CCTV-4 中文国际 美洲HD,http://drive.mxmy.net:8888/udp/239.3.1.214:4220
CCTVNEWS,
CCTV-高尔夫网球,
CCTV-怀旧剧场,http://183.236.43.98:4013/udp/239.253.43.5:5146#http://116.21.205.101:8188/udp/239.253.43.5:5146
CCTV赛事,
CCTV-4K超高清,http://183.236.43.98:4013/udp/239.77.0.194:5146
CCTV-文化精品,http://183.236.43.98:4013/udp/239.253.43.13:5146
CCTV-4中文国际 美洲,
CCTV-高尔夫·网球,
CCTV-4 北美,
CCTV-4 欧洲,http://144.255.32.30:8288/udp/239.21.2.28:5002
CCTV6-电影,http://nas.hssvm.com:8888/udp/225.1.1.195:5002
